Linie;Farbentitel;bacground_RAL;background_C;background_M;background_Y;background_K;background_R;background_G;background_B;background_Hex;text_R;text_G;text_B
RE6;Erikaviolett;RAL 4003;10;70;0;0;218;107;162;#da6ba2;255;255;255
RE66;Smaragdgruen;RAL 6001;100;30;100;0;0;119;52;#007734;255;255;255
RE7;Smaragdgruen;RAL 6001;100;30;100;0;0;119;52;#007734;255;255;255
RE8;Blaulila;RAL 4005;55;60;0;5;129;109;166;#816da6;255;255;255
RE85;Kupferbraun;RAL 8004;25;70;80;15;173;89;55;#ad5937;255;255;255
S1;Erikaviolett;RAL 4003;10;70;0;0;218;107;162;#da6ba2;255;255;255
S2;Smaragdgruen;RAL 6001;100;30;100;0;0;119;52;#007734;255;255;255
S25;Smaragdgruen;RAL 6001;100;30;100;0;0;119;52;#007734;255;255;255
S26;Smaragdgruen;RAL 6001;100;30;100;0;0;119;52;#007734;255;255;255
S3;Verkehrsblau;RAL 5017;100;50;0;5;0;102;173;#0066ad;255;255;255
S41;Kupferbraun;RAL 8004;25;70;80;15;173;89;55;#ad5937;255;255;255
S42;Orangebraun;RAL 8023;20;70;100;0;203;100;24;#cb6418;255;255;255
S45;Braunbeige;RAL 1011;10;35;70;15;205;156;83;#cd9c53;255;255;255
S46;Braunbeige;RAL 1011;10;35;70;15;205;156;83;#cd9c53;255;255;255
S47;Braunbeige;RAL 1011;10;35;70;15;205;156;83;#cd9c53;255;255;255
S5;Hellrotorange;RAL 2008;0;65;100;0;235;116;5;#eb7405;255;255;255
S7;Blaulila;RAL 4005;55;60;0;5;129;109;166;#816da6;255;255;255
S75;Blaulila;RAL 4005;55;60;0;5;129;109;166;#816da6;255;255;255
S8;Gelbgruen;RAL 6018;65;0;100;5;102;170;34;#66aa22;255;255;255
S85;Gelbgruen;RAL 6018;65;0;100;5;102;170;34;#66aa22;255;255;255
S9;Purpurrot;RAL 3004;40;95;60;10;153;39;70;#992746;255;255;255
U1;Gelbgruen (BVG);;70;0;100;10;125;173;76;#7dad4c;255;255;255
U2;Blutorange;RAL 2002;0;85;100;0;218;66;30;#da421e;255;255;255
U3;Tuerkisgruen;RAL 6016;100;30;80;0;22;104;61;#16683d;255;255;255
U4;Verkehrsgelb (BVG);;0;5;100;0;240;215;34;#f0d722;0;0;0
U5;Rehbraun;RAL 8007;55;80;90;10;126;83;48;#7e5330;255;255;255
U6;Blaulila (BVG);;55;65;0;5;140;109;171;#8c6dab;255;255;255
U7;Lichtblau;RAL 5012;80;20;0;0;0;155;213;#009bd5;255;255;255
U8;Enzianblau;RAL 5010;100;60;0;20;34;79;134;#224f86;255;255;255
U9;Pastellorange;RAL 2003;0;55;100;0;243;121;29;#f3791d;255;255;255
Tram;Verkehrsrot;RAL 3020;0;100;100;0;226;0;26;#e2001a;255;255;255
Fähre;Lichtblau;RAL 5012;80;20;0;0;0;155;213;#009bd5;255;255;255
Bus;Verkehrspurpur;RAL 4006;40;100;0;0;165;2;125;#a5027d;255;255;255
X4;Tuerkis 700;;100;8;50;35;0;110;107;#006e6b;255;255;255
X8;Blau 300;;61;18;0;0;115;174;244;#73AEF4;0;0;0
X9;Violett 600;;70;90;0;0;110;54;140;#6E368C;255;255;255
P;Gelb 600;;0;25;100;0;255;187;0;#FFBB00;0;0;0
R;Gelb 800;;0;57;100;0;255;122;0;#FF7A00;255;255;255
S;DB Rot 500;;0;100;100;0;236;0;22;#EC0016;255;255;255
T;Tuerkis 400;;69;0;37;2;60;181;174;#3CB5AE;0;0;0
